symbol,open,high,low,close,volume
Binance:ADAUSD,0.36406931,0.38033391,0.33293171,0.34497402,115315146.41261783
Binance:ADAUSD,0.34519936,0.43707655,0.32909975,0.40883636,306057581.12238604
Binance:ADAUSD,0.40901208,0.47054506,0.38597899,0.42546191,476839999.92022836
Binance:ADAUSD,0.4253815,0.45919515,0.40316947,0.44246736,169814749.04665226
Binance:ADAUSD,0.44292301,0.4686042,0.39991933,0.43941245,173775031.8962761
Binance:ADAUSD,0.4401118,0.56925294,0.43343052,0.53672229,456777790.1925025
Binance:ADAUSD,0.53960255,0.6872081,0.5032359,0.6350449,479455404.79533887
Binance:ADAUSD,0.63541073,0.71513384,0.58080173,0.66270912,628748285.2624316
Binance:ADAUSD,0.66246463,0.83303742,0.52524063,0.67836049,415732963.2861464
Binance:ADAUSD,0.6778108,0.7371283,0.63262865,0.70691297,286762995.23214877
Binance:ADAUSD,0.70700197,0.99777643,0.66393794,0.94097854,620383404.4211578
Binance:ADAUSD,0.94056285,1.02749958,0.81902082,0.92759514,379053538.94830394
Binance:ADAUSD,0.92887305,0.9692694,0.85277494,0.92648152,233786089.59766203
Binance:ADAUSD,0.92666457,0.96383859,0.8140363,0.91391554,197576914.35366365
Binance:ADAUSD,0.91416081,0.96822739,0.78342722,0.84425881,238864906.6060292
Binance:ADAUSD,0.84412478,0.91884491,0.68067612,0.86092701,301557584.7569943
Binance:ADAUSD,0.8617456,0.94341593,0.81478203,0.87105798,195552957.6705879
Binance:ADAUSD,0.8706449,0.93458045,0.79826159,0.89299726,164578830.5086505
Binance:ADAUSD,0.89233424,0.97093558,0.8675566,0.91523933,209262293.92402226
Binance:ADAUSD,0.915599,1.0176942,0.83849788,0.92687823,173901965.28946254
Binance:ADAUSD,0.92699013,1.23400445,0.8849043,1.11679024,526963350.9377916
Binance:ADAUSD,1.11749858,1.18755975,1.03116759,1.10097257,225238738.25434384
Binance:ADAUSD,1.10035181,1.20628822,0.79290173,1.09777111,337399509.29859406
Binance:ADAUSD,1.09917517,1.14903528,0.80870099,0.96158559,411998406.83942026
Binance:ADAUSD,0.96259997,1.10338494,0.89637443,1.04968591,239461881.41165373
Binance:ADAUSD,1.04930189,1.21718491,0.94766986,1.07566312,256253534.53244618
Binance:ADAUSD,1.07588578,1.33328824,0.97407882,1.24440735,472133024.8292209
Binance:ADAUSD,1.24455642,1.54665122,1.16625181,1.31577767,603456210.6598667
Binance:ADAUSD,1.31602631,1.4001558,1.11858929,1.31599204,373329210.404789
Binance:ADAUSD,1.31625079,1.45410228,1.15570562,1.29805299,279741348.534671
Binance:ADAUSD,1.29749811,1.31515222,1.13151081,1.22419098,193472502.03124425
Binance:ADAUSD,1.22386861,1.33977229,1.15072038,1.21322673,120696233.3440843
Binance:ADAUSD,1.2138468,1.2688269,1.06306679,1.11220491,180715405.65562004
Binance:ADAUSD,1.11214436,1.22129066,1.01956377,1.15937404,193969690.50482255
Binance:ADAUSD,1.15925577,1.18657676,1.04450089,1.12965814,76715252.60609002
Binance:ADAUSD,1.13002047,1.19054002,1.07669855,1.13016641,84537888.26194327
Binance:ADAUSD,1.13018747,1.19907216,1.05316139,1.11891945,107534691.12572339
Binance:ADAUSD,1.11904007,1.24091535,1.07936741,1.19787205,178450287.19631287
Binance:ADAUSD,1.19842821,1.25639313,1.06173568,1.13281068,129617707.39766555
Binance:ADAUSD,1.13339835,1.19815766,1.04000499,1.12546262,95944177.49616379
Binance:ADAUSD,1.12506799,1.14826097,0.98902927,1.03320646,118474679.07316461
Binance:ADAUSD,1.03327541,1.22242771,0.98483486,1.10050596,156843037.0135562
Binance:ADAUSD,1.10005991,1.12065151,1.03439076,1.05369303,72021663.88553134
Binance:ADAUSD,1.05273838,1.13111163,0.95240704,1.03080227,109339948.05171742
Binance:ADAUSD,1.03118062,1.32455506,0.97815298,1.25048132,365067587.16955566
Binance:ADAUSD,1.25068789,1.46227862,1.15212726,1.37748753,321598052.6984963
Binance:ADAUSD,1.37850778,1.51378441,1.19277462,1.2300432,420430737.7864574
Binance:ADAUSD,1.22952658,1.36629216,1.17686501,1.2965688,181430754.31142685
Binance:ADAUSD,1.29562338,1.34081378,1.19172697,1.20070714,101442488.85673401
Binance:ADAUSD,1.20032457,1.26243852,1.13316519,1.18659002,69963191.55096905
Binance:ADAUSD,1.18625063,1.22417145,1.05708139,1.10192737,108121610.59736057
Binance:ADAUSD,1.102218,1.18759933,1.07402637,1.11610488,85477988.38355649
Binance:ADAUSD,1.11569464,1.18321809,1.0340178,1.06775404,87698065.35379858
Binance:ADAUSD,1.06809506,1.18833918,1.01953085,1.09628326,135567905.16377473
Binance:ADAUSD,1.09604723,1.34430967,1.08106017,1.21428099,278167805.3546478
Binance:ADAUSD,1.21502305,1.26623076,1.13133879,1.17738266,63435219.37208284
Binance:ADAUSD,1.17725887,1.22816916,1.14586245,1.18992716,58343766.3668653
Binance:ADAUSD,1.19049709,1.27800746,1.13588364,1.20175978,67975174.30052052
Binance:ADAUSD,1.20247822,1.24654961,1.1689633,1.21192457,55662434.26059976
Binance:ADAUSD,1.21262263,1.23435544,1.12788221,1.19232518,72618182.68824846
Binance:ADAUSD,1.19221248,1.21343555,1.16211993,1.18279944,57115312.75310646
Binance:ADAUSD,1.18407432,1.2560797,1.16114906,1.19129212,69753702.05063827
Binance:ADAUSD,1.19042864,1.25019625,1.14796085,1.16295533,72677254.87869608
Binance:ADAUSD,1.16338552,1.20625732,1.14199112,1.18226445,49110467.05531498
Binance:ADAUSD,1.18227663,1.23513397,1.14817012,1.21140399,81148377.28959718
Binance:ADAUSD,1.21210499,1.36484023,1.15752516,1.25270826,196934699.88218656
Binance:ADAUSD,1.25279429,1.30510651,1.15089252,1.17306363,88176228.23267329
Binance:ADAUSD,1.17301803,1.23871652,1.16196088,1.21958965,53487652.38480907
Binance:ADAUSD,1.21937398,1.24187063,1.18563402,1.20226399,37427214.10932425
Binance:ADAUSD,1.20251625,1.26637381,1.15474296,1.21705158,77255580.11248878
Binance:ADAUSD,1.21819116,1.30920729,1.18478815,1.2630794,108886972.3848034
Binance:ADAUSD,1.26378603,1.37166372,1.24713813,1.31407707,150215413.00243592
Binance:ADAUSD,1.31456715,1.45054418,1.23705619,1.41296808,173569809.8359037
Binance:ADAUSD,1.4131485,1.57054503,1.31930447,1.45219848,246315307.11935285
Binance:ADAUSD,1.45200668,1.52138054,1.40007708,1.48038338,92240577.10150117
Binance:ADAUSD,1.48042066,1.52246909,1.32795761,1.41370656,134983856.24614072
Binance:ADAUSD,1.41189924,1.47038116,1.34506494,1.36939285,62053994.74211379
Binance:ADAUSD,1.37027089,1.3898808,1.03364933,1.27962232,159485470.16070274
Binance:ADAUSD,1.27930504,1.33662369,1.16246006,1.19589601,80586589.67996223
Binance:ADAUSD,1.19645302,1.28694593,1.10876601,1.26846721,81005652.94019862
Binance:ADAUSD,1.26828873,1.3079537,1.18375909,1.20365325,70319467.87930305
Binance:ADAUSD,1.20430489,1.29201816,1.10733223,1.1442119,100217362.82607254
Binance:ADAUSD,1.14463883,1.19229223,0.89016177,1.15939806,177316281.79900622
Binance:ADAUSD,1.15990122,1.223932,1.07217891,1.1048658,73576805.28270596
Binance:ADAUSD,1.10446495,1.1519503,1.01781094,1.09200918,44993549.38808356
Binance:ADAUSD,1.09201902,1.26940776,1.07788068,1.2390517,61972985.56354906
Binance:ADAUSD,1.23870962,1.34630635,1.21862346,1.30816965,73239031.3905926
Binance:ADAUSD,1.30818141,1.38338432,1.23278679,1.33835144,68759056.20348524
Binance:ADAUSD,1.33823642,1.43052266,1.25036508,1.30654498,108190327.13514727
Binance:ADAUSD,1.30702937,1.46542043,1.23454555,1.35457551,72389374.33725645
Binance:ADAUSD,1.35463124,1.38165144,1.30911319,1.35276557,40351154.01238726
Binance:ADAUSD,1.35358339,1.37688968,1.28996598,1.32787425,36125691.52389746
Binance:ADAUSD,1.32710441,1.40688717,1.29966261,1.36331406,55718415.59608154
Binance:ADAUSD,1.36341504,1.3789982,1.22733185,1.27135741,69659326.4742246
Binance:ADAUSD,1.27101951,1.52262931,1.25217651,1.48265704,130569485.90145162
Binance:ADAUSD,1.48269184,1.76331901,1.3961202,1.6514284,251658853.6205955
Binance:ADAUSD,1.65192584,1.81248341,1.52628228,1.65497792,168384261.2074162
Binance:ADAUSD,1.65444256,1.71865254,1.52673464,1.62403173,84536814.07613128
Binance:ADAUSD,1.62387923,1.89272425,1.52745569,1.7683422,224160983.70721313
