symbol,open,high,low,close,volume
Bitstamp:BTCUSD,34300.19,34380.21,32193.7,33141.38,4750.12315608
Bitstamp:BTCUSD,33110.32,34736.1,32333.01,33532.74,8374.05662032
Bitstamp:BTCUSD,33497.16,36008.67,33431.67,35522.16,7225.86501969
Bitstamp:BTCUSD,35496.91,37732.87,35382.45,37691.63,8777.33287657
Bitstamp:BTCUSD,37693.0,38748.52,36197.65,36996.32,11762.80234811
Bitstamp:BTCUSD,36984.28,38359.69,36618.36,38320.0,5211.97488137
Bitstamp:BTCUSD,38320.0,41025.48,38230.81,39282.1,8635.66020711
Bitstamp:BTCUSD,39274.8,39727.44,37412.93,38858.39,5973.24016085
Bitstamp:BTCUSD,38870.36,46712.12,38050.97,46416.45,19053.71343569
Bitstamp:BTCUSD,46445.51,48216.09,45000.0,46505.2,12505.08248337
Bitstamp:BTCUSD,46493.9,47364.09,43746.06,44854.63,9483.3289564
Bitstamp:BTCUSD,44854.63,48696.84,44040.96,47981.48,9390.81635484
Bitstamp:BTCUSD,48044.88,49000.0,46231.16,47395.84,5970.13590277
Bitstamp:BTCUSD,47424.25,48220.0,46133.0,47228.48,4271.67215148
Bitstamp:BTCUSD,47258.66,49714.66,47081.02,48662.5,5201.6939256
Bitstamp:BTCUSD,48620.48,49048.82,45914.75,47942.57,6922.00560598
Bitstamp:BTCUSD,47954.05,50602.53,47036.02,49166.53,8376.07608814
Bitstamp:BTCUSD,49136.7,52640.0,48896.19,52174.28,9571.64796874
Bitstamp:BTCUSD,52141.23,52566.98,50869.61,51579.54,6330.14291878
Bitstamp:BTCUSD,51560.46,56399.99,50627.32,55988.58,9229.78250415
Bitstamp:BTCUSD,56000.59,57553.81,54000.0,55936.04,5187.25046252
Bitstamp:BTCUSD,55919.75,58354.14,55537.99,57492.91,3562.96950963
Bitstamp:BTCUSD,57485.74,57564.19,47400.0,54173.65,17002.83273081
Bitstamp:BTCUSD,54173.64,54196.58,44845.72,48887.93,17766.39814895
Bitstamp:BTCUSD,48927.33,51459.51,47000.0,49754.0,8774.36674339
