symbol,open,high,low,close,volume
Coinbase:DOGEUSD,0.4875,0.4875,0.3779,0.4015,190111721.70470005
Coinbase:DOGEUSD,0.4015,0.4039,0.35,0.3769,570165109.2144009
Coinbase:DOGEUSD,0.3769,0.3948,0.3598,0.3718,221827648.1144006
Coinbase:DOGEUSD,0.3718,0.3774,0.3669,0.3717,125063397.21439946
Coinbase:DOGEUSD,0.3719,0.38,0.3274,0.3315,205450202.31440026
Coinbase:DOGEUSD,0.3317,0.3422,0.2959,0.3264,287575509.5144008
Coinbase:DOGEUSD,0.3264,0.3548,0.3125,0.3436,197780888.91440055
Coinbase:DOGEUSD,0.3437,0.3455,0.3228,0.3261,144170835.3143996
Coinbase:DOGEUSD,0.3262,0.3343,0.311,0.3189,132298372.11439945
Coinbase:DOGEUSD,0.3189,0.3192,0.3011,0.3121,94733927.01439922
Coinbase:DOGEUSD,0.3123,0.3306,0.3077,0.3243,73923729.41440009
Coinbase:DOGEUSD,0.3243,0.3377,0.3196,0.3276,93716865.3143996
Coinbase:DOGEUSD,0.3277,0.3307,0.3165,0.3204,83817626.31439981
Coinbase:DOGEUSD,0.3204,0.3213,0.3051,0.3077,82167983.91439979
Coinbase:DOGEUSD,0.3078,0.3141,0.3028,0.3064,56537942.21440023
Coinbase:DOGEUSD,0.3062,0.3078,0.2799,0.2934,176036609.4144004
Coinbase:DOGEUSD,0.2935,0.298,0.2856,0.2856,57112283.01440023
Coinbase:DOGEUSD,0.2858,0.2896,0.255,0.2803,158647350.21440008
Coinbase:DOGEUSD,0.2803,0.2811,0.1643,0.1788,791736965.3143989
Coinbase:DOGEUSD,0.1787,0.2175,0.1633,0.1909,794426599.4143952
Coinbase:DOGEUSD,0.1909,0.2495,0.1805,0.2349,564383669.4144008
Coinbase:DOGEUSD,0.2349,0.27,0.2218,0.264,351286805.7143999
Coinbase:DOGEUSD,0.264,0.29,0.2285,0.2375,645832694.114399
Coinbase:DOGEUSD,0.2374,0.2557,0.2306,0.2459,208364317.61440045
Coinbase:DOGEUSD,0.2458,0.2677,0.2403,0.2647,180482566.4143991
Coinbase:DOGEUSD,0.2646,0.2669,0.2506,0.2572,171045051.31439954
Coinbase:DOGEUSD,0.2571,0.2758,0.2527,0.2636,195143202.11440092
Coinbase:DOGEUSD,0.2635,0.2641,0.2378,0.2541,184596444.71439993
Coinbase:DOGEUSD,0.2539,0.2619,0.2383,0.2441,164261335.3144
Coinbase:DOGEUSD,0.2438,0.2489,0.2385,0.2452,111923201.41439927
Coinbase:DOGEUSD,0.2453,0.2502,0.242,0.2465,66914583.11440022
Coinbase:DOGEUSD,0.2465,0.2528,0.2433,0.2467,66153102.11440018
Coinbase:DOGEUSD,0.2466,0.2466,0.2262,0.2312,100615850.7143994
Coinbase:DOGEUSD,0.2312,0.2422,0.2294,0.2342,88550837.6143997
Coinbase:DOGEUSD,0.2342,0.2386,0.2209,0.2239,107956123.5143996
Coinbase:DOGEUSD,0.224,0.2249,0.2017,0.2072,195477532.41440025
Coinbase:DOGEUSD,0.2072,0.2298,0.1955,0.2196,236319196.61440113
Coinbase:DOGEUSD,0.2196,0.228,0.2099,0.2139,95754193.01439941
Coinbase:DOGEUSD,0.2138,0.2192,0.2107,0.2159,47077254.71439019
Coinbase:DOGEUSD,0.216,0.2191,0.204,0.2078,78345899.81439997
Coinbase:DOGEUSD,0.2078,0.2096,0.1975,0.2,95276373.81439978
Coinbase:DOGEUSD,0.2,0.2047,0.1874,0.1976,140524632.01439944
Coinbase:DOGEUSD,0.1975,0.2008,0.1803,0.1853,123286107.01439969
Coinbase:DOGEUSD,0.1853,0.1883,0.1711,0.1721,146625046.01439935
Coinbase:DOGEUSD,0.1721,0.2059,0.169,0.1876,283758045.11439973
Coinbase:DOGEUSD,0.1876,0.1963,0.1803,0.1817,140641638.81439888
Coinbase:DOGEUSD,0.1817,0.1844,0.1704,0.1737,141656397.51439968
Coinbase:DOGEUSD,0.1738,0.18,0.16,0.1706,218925708.21440008
Coinbase:DOGEUSD,0.1706,0.215,0.1683,0.1905,485064387.6144008
Coinbase:DOGEUSD,0.1906,0.1965,0.1863,0.1914,145232846.51439962
Coinbase:DOGEUSD,0.1913,0.1996,0.1832,0.195,144665301.81439954
Coinbase:DOGEUSD,0.1951,0.2046,0.1913,0.1971,165000795.3144
Coinbase:DOGEUSD,0.1971,0.2009,0.1912,0.1981,121896004.01439933
Coinbase:DOGEUSD,0.1981,0.2332,0.1968,0.2039,626081630.9144003
Coinbase:DOGEUSD,0.2039,0.2096,0.1952,0.2059,226006096.8144003
Coinbase:DOGEUSD,0.2058,0.2138,0.2016,0.2059,186971251.71440008
Coinbase:DOGEUSD,0.2057,0.2066,0.2004,0.2049,108693057.41439942
Coinbase:DOGEUSD,0.2048,0.2107,0.196,0.2089,168695117.41439942
Coinbase:DOGEUSD,0.209,0.2146,0.205,0.2079,108532677.21439943
Coinbase:DOGEUSD,0.2079,0.2181,0.201,0.2043,172196420.4143995
Coinbase:DOGEUSD,0.2043,0.2099,0.2016,0.2034,107019763.41439943
Coinbase:DOGEUSD,0.2034,0.2051,0.1932,0.1962,135048499.91439927
Coinbase:DOGEUSD,0.1963,0.2032,0.1943,0.2014,108608848.8143996
Coinbase:DOGEUSD,0.2015,0.2024,0.1944,0.201,128633579.91439961
Coinbase:DOGEUSD,0.2011,0.2121,0.1984,0.2049,180216995.9144003
Coinbase:DOGEUSD,0.2049,0.2634,0.2036,0.2622,800423678.5143968
Coinbase:DOGEUSD,0.2622,0.284,0.2347,0.24,951623526.0143926
Coinbase:DOGEUSD,0.24,0.267,0.2302,0.2562,653554605.6144001
Coinbase:DOGEUSD,0.2561,0.2633,0.2452,0.2575,456380783.01440084
Coinbase:DOGEUSD,0.2576,0.2829,0.2565,0.2647,657443584.1144009
Coinbase:DOGEUSD,0.2646,0.2948,0.2516,0.264,745015542.7143959
Coinbase:DOGEUSD,0.2642,0.2877,0.2616,0.287,483859802.71440196
Coinbase:DOGEUSD,0.287,0.2988,0.276,0.2939,562202841.7144008
Coinbase:DOGEUSD,0.2939,0.35,0.2875,0.3403,1112193496.0143986
Coinbase:DOGEUSD,0.3404,0.3519,0.31,0.3194,919382770.8143934
Coinbase:DOGEUSD,0.3194,0.34,0.2942,0.2993,772826988.2143987
Coinbase:DOGEUSD,0.2993,0.326,0.2783,0.3031,887046305.6143973
Coinbase:DOGEUSD,0.3032,0.3192,0.2937,0.3176,466531914.1144014
Coinbase:DOGEUSD,0.3178,0.3349,0.3136,0.3273,393858940.9144006
Coinbase:DOGEUSD,0.3276,0.3296,0.3145,0.3173,277716902.0144007
Coinbase:DOGEUSD,0.3171,0.3217,0.3052,0.3149,200280984.51440027
Coinbase:DOGEUSD,0.3149,0.328,0.3128,0.3179,312992689.9144008
Coinbase:DOGEUSD,0.3179,0.3196,0.276,0.2888,410135197.31440127
Coinbase:DOGEUSD,0.2888,0.297,0.2795,0.2924,251441677.71440113
Coinbase:DOGEUSD,0.2926,0.2962,0.2643,0.2684,337735827.81439114
Coinbase:DOGEUSD,0.2684,0.2953,0.265,0.2948,253519860.7144006
Coinbase:DOGEUSD,0.2946,0.2998,0.2831,0.2863,154141454.1143995
Coinbase:DOGEUSD,0.2863,0.2922,0.2766,0.2813,238108435.31439072
Coinbase:DOGEUSD,0.2813,0.2903,0.27,0.272,333045083.5144014
Coinbase:DOGEUSD,0.2721,0.2861,0.27,0.2783,265798812.01440063
Coinbase:DOGEUSD,0.2783,0.295,0.2731,0.2945,340668630.5144008
Coinbase:DOGEUSD,0.2944,0.31,0.2919,0.2948,532380997.31440234
Coinbase:DOGEUSD,0.2948,0.305,0.2874,0.2963,374466691.5144006
Coinbase:DOGEUSD,0.2963,0.3087,0.2933,0.2994,285715298.7144012
Coinbase:DOGEUSD,0.2995,0.3159,0.2963,0.3147,352644709.1143997
Coinbase:DOGEUSD,0.3148,0.3199,0.3002,0.3091,295006262.714401
Coinbase:DOGEUSD,0.3092,0.3115,0.21,0.2557,932209757.0143661
Coinbase:DOGEUSD,0.2556,0.2637,0.2334,0.2567,515368548.8144017
Coinbase:DOGEUSD,0.2566,0.2597,0.2486,0.2527,269432873.5144002
Coinbase:DOGEUSD,0.2527,0.262,0.2355,0.2398,290362017.6144007
Coinbase:DOGEUSD,0.2398,0.248,0.2377,0.2411,138158164.31438902
Coinbase:DOGEUSD,0.2412,0.2554,0.2388,0.2502,184559604.61439958
Coinbase:DOGEUSD,0.2502,0.2522,0.2284,0.236,337437100.6144015
Coinbase:DOGEUSD,0.2359,0.2417,0.2338,0.2407,143879242.21439952
Coinbase:DOGEUSD,0.2406,0.2484,0.2391,0.2477,110482728.71439953
Coinbase:DOGEUSD,0.2478,0.248,0.2332,0.242,184899915.51440033
Coinbase:DOGEUSD,0.2419,0.26,0.2375,0.2401,410488863.2144018
Coinbase:DOGEUSD,0.2402,0.2476,0.2381,0.2414,143157357.6143996
Coinbase:DOGEUSD,0.2414,0.2415,0.2308,0.2329,117703007.41439942
Coinbase:DOGEUSD,0.2329,0.2335,0.1989,0.2087,483209883.11440086
Coinbase:DOGEUSD,0.2087,0.2185,0.1977,0.2009,364206027.11440134
Coinbase:DOGEUSD,0.201,0.2306,0.1999,0.2245,443720076.6144022
Coinbase:DOGEUSD,0.2245,0.2274,0.2176,0.2246,228485486.4144005
Coinbase:DOGEUSD,0.2247,0.2292,0.1967,0.2092,384603240.4144016
Coinbase:DOGEUSD,0.2094,0.2127,0.2045,0.2084,200179904.71440035
Coinbase:DOGEUSD,0.2084,0.2091,0.1943,0.2051,211842463.31440082
Coinbase:DOGEUSD,0.205,0.2095,0.1997,0.1999,144394687.31437927
Coinbase:DOGEUSD,0.1998,0.2026,0.1961,0.1968,155875375.71439973
Coinbase:DOGEUSD,0.1965,0.2043,0.1948,0.1987,171322022.7143902
Coinbase:DOGEUSD,0.1987,0.2059,0.1976,0.2042,138736370.81439954
Coinbase:DOGEUSD,0.2043,0.2255,0.2018,0.2228,248002051.91440058
Coinbase:DOGEUSD,0.2228,0.2253,0.2152,0.2187,198897049.01439974
Coinbase:DOGEUSD,0.2187,0.2266,0.2157,0.2218,188564520.61440027
Coinbase:DOGEUSD,0.2219,0.2491,0.2126,0.2415,802734694.7143977
Coinbase:DOGEUSD,0.2414,0.2687,0.2327,0.2519,846596694.9143955
Coinbase:DOGEUSD,0.2519,0.2718,0.2423,0.2542,821122818.4143943
Coinbase:DOGEUSD,0.2542,0.2568,0.2357,0.2428,602429714.114397
Coinbase:DOGEUSD,0.2429,0.2548,0.2415,0.2441,336989066.6144007
Coinbase:DOGEUSD,0.2441,0.2526,0.241,0.2466,230477283.41440043
Coinbase:DOGEUSD,0.2466,0.2486,0.2262,0.2288,209423964.01439956
Coinbase:DOGEUSD,0.2288,0.2394,0.2249,0.2312,251479972.1144008
Coinbase:DOGEUSD,0.2313,0.2318,0.216,0.2262,227704427.614401
Coinbase:DOGEUSD,0.2259,0.2342,0.2206,0.2328,232080787.51440018
Coinbase:DOGEUSD,0.2327,0.2404,0.2312,0.2327,242876683.41440025
Coinbase:DOGEUSD,0.2326,0.2435,0.2243,0.2342,345225790.5144009
Coinbase:DOGEUSD,0.2342,0.2455,0.2337,0.2373,237927977.3144006
Coinbase:DOGEUSD,0.2373,0.242,0.2256,0.2377,245011411.61440006
Coinbase:DOGEUSD,0.2376,0.2728,0.2369,0.2473,712575910.4143968
Coinbase:DOGEUSD,0.2473,0.255,0.24,0.2454,279025037.6144003
Coinbase:DOGEUSD,0.2453,0.262,0.242,0.2548,373242733.81440103
Coinbase:DOGEUSD,0.2547,0.2585,0.2406,0.2424,332634073.2144008
Coinbase:DOGEUSD,0.2423,0.2534,0.2349,0.2445,354479657.1144009
Coinbase:DOGEUSD,0.2444,0.2538,0.2405,0.2511,235020125.6144001
Coinbase:DOGEUSD,0.251,0.2846,0.2458,0.2756,1015028156.3143978
Coinbase:DOGEUSD,0.2757,0.2806,0.2578,0.265,578483998.3143995
Coinbase:DOGEUSD,0.2649,0.2743,0.252,0.2559,509754303.0144006
Coinbase:DOGEUSD,0.256,0.2636,0.2202,0.238,1085324210.314395
Coinbase:DOGEUSD,0.2381,0.34,0.2326,0.2997,3547278230.114407
Coinbase:DOGEUSD,0.2998,0.3079,0.277,0.288,1096988764.3143926
Coinbase:DOGEUSD,0.288,0.2949,0.2578,0.2691,682148981.7144008
Coinbase:DOGEUSD,0.2692,0.2853,0.2523,0.2802,832342399.1143987
Coinbase:DOGEUSD,0.2803,0.2865,0.2636,0.2718,537972881.6144018
Coinbase:DOGEUSD,0.2718,0.281,0.2645,0.2742,452295999.61440164
Coinbase:DOGEUSD,0.2743,0.2777,0.2629,0.269,441059901.1144016
Coinbase:DOGEUSD,0.269,0.271,0.2542,0.2631,375449920.2144009
Coinbase:DOGEUSD,0.2631,0.271,0.2569,0.261,267711434.61440048
Coinbase:DOGEUSD,0.2611,0.2679,0.2504,0.2621,256711767.01440117
Coinbase:DOGEUSD,0.262,0.2699,0.2587,0.2667,197626340.21440026
Coinbase:DOGEUSD,0.2667,0.2975,0.2647,0.2821,723761754.914395
Coinbase:DOGEUSD,0.2821,0.2906,0.2715,0.2737,454478870.714401
Coinbase:DOGEUSD,0.2737,0.2774,0.2378,0.2557,488315975.6144002
Coinbase:DOGEUSD,0.2556,0.2717,0.2534,0.2606,272883835.61440027
Coinbase:DOGEUSD,0.2606,0.2686,0.2489,0.2596,318056497.41440105
Coinbase:DOGEUSD,0.2596,0.2624,0.2544,0.2612,145148491.11439964
Coinbase:DOGEUSD,0.2613,0.2718,0.2596,0.2629,217418657.31440085
Coinbase:DOGEUSD,0.263,0.2653,0.2555,0.2567,187244743.9144003
Coinbase:DOGEUSD,0.2568,0.2568,0.2237,0.2371,409872429.41440165
Coinbase:DOGEUSD,0.2371,0.2414,0.2302,0.2377,246023192.21440083
Coinbase:DOGEUSD,0.2378,0.2417,0.2162,0.2219,366752118.51440066
Coinbase:DOGEUSD,0.2218,0.2377,0.2168,0.2335,230588192.01440048
Coinbase:DOGEUSD,0.2336,0.2363,0.2257,0.2335,146720402.2143995
Coinbase:DOGEUSD,0.2335,0.2338,0.2258,0.2262,117915486.3143994
Coinbase:DOGEUSD,0.2263,0.2277,0.2169,0.2199,204594410.01440015
Coinbase:DOGEUSD,0.22,0.2371,0.2139,0.2271,304136170.3144024
Coinbase:DOGEUSD,0.2271,0.2309,0.2114,0.2175,246655250.71379066
Coinbase:DOGEUSD,0.2175,0.2297,0.2145,0.2217,275966869.81440043
Coinbase:DOGEUSD,0.2219,0.2226,0.1922,0.2027,459822614.6144011
Coinbase:DOGEUSD,0.2027,0.2097,0.2016,0.2054,181029045.71440008
Coinbase:DOGEUSD,0.2053,0.208,0.1917,0.2079,281259355.31440014
Coinbase:DOGEUSD,0.2078,0.2256,0.2029,0.2151,418892109.31440055
Coinbase:DOGEUSD,0.2152,0.2282,0.2127,0.2149,385071109.01440233
Coinbase:DOGEUSD,0.2149,0.2192,0.2059,0.2095,213217916.41440007
Coinbase:DOGEUSD,0.2095,0.2234,0.2018,0.2097,379499944.5144015
Coinbase:DOGEUSD,0.2097,0.2122,0.1907,0.2,260190954.6144005
Coinbase:DOGEUSD,0.2,0.2014,0.135,0.1798,640417649.8134965
Coinbase:DOGEUSD,0.1797,0.1827,0.1623,0.1719,388146898.81440145
Coinbase:DOGEUSD,0.172,0.1812,0.1595,0.1786,491055477.41440094
Coinbase:DOGEUSD,0.1786,0.185,0.1748,0.1764,302381020.4144007
Coinbase:DOGEUSD,0.1764,0.1823,0.1724,0.1794,344901886.91440207
Coinbase:DOGEUSD,0.1795,0.1828,0.1687,0.1692,302315331.11440086
Coinbase:DOGEUSD,0.1691,0.1748,0.1636,0.1642,219146527.0144002
Coinbase:DOGEUSD,0.1642,0.1702,0.1613,0.169,227870140.71440095
Coinbase:DOGEUSD,0.1691,0.1739,0.1656,0.1698,147106998.5143999
Coinbase:DOGEUSD,0.1698,0.1705,0.1514,0.1574,331781585.7144006
Coinbase:DOGEUSD,0.1574,0.228,0.1549,0.1911,1497188424.614404
Coinbase:DOGEUSD,0.1912,0.1915,0.1704,0.1811,548644237.1144005
