symbol,open,high,low,close,volume
Bitstamp:ETHUSD,1374.46,1381.13,1282.48,1314.17,46723.36567596
Bitstamp:ETHUSD,1313.19,1377.76,1271.8,1375.28,60834.72958926
Bitstamp:ETHUSD,1375.65,1549.21,1362.85,1513.0,126366.02112154
Bitstamp:ETHUSD,1513.62,1673.34,1507.61,1667.28,106199.11273943
Bitstamp:ETHUSD,1669.23,1698.56,1555.26,1598.89,100659.42170598
Bitstamp:ETHUSD,1598.15,1764.55,1593.0,1721.04,77705.65401435
Bitstamp:ETHUSD,1721.72,1745.52,1647.76,1679.46,75746.50362619
Bitstamp:ETHUSD,1680.03,1695.09,1492.6,1615.44,79754.24042088
Bitstamp:ETHUSD,1615.77,1779.43,1566.21,1752.3,110082.25161197
Bitstamp:ETHUSD,1754.07,1825.36,1708.21,1772.94,67940.076017
Bitstamp:ETHUSD,1773.72,1839.0,1678.67,1743.14,87952.33232993
Bitstamp:ETHUSD,1745.21,1819.0,1704.87,1788.18,75222.08919245
Bitstamp:ETHUSD,1787.64,1868.8,1741.16,1845.93,69275.68002034
Bitstamp:ETHUSD,1845.74,1874.98,1765.54,1817.2,58072.79926344
Bitstamp:ETHUSD,1820.26,1853.3,1785.93,1802.0,62494.24175093
Bitstamp:ETHUSD,1803.43,1839.25,1660.0,1780.19,113813.17731985
Bitstamp:ETHUSD,1779.6,1826.23,1723.67,1781.16,87870.25276779
Bitstamp:ETHUSD,1783.75,1857.79,1733.46,1851.26,65212.37484467
Bitstamp:ETHUSD,1852.07,1951.26,1852.07,1939.05,72480.32210128
Bitstamp:ETHUSD,1942.87,1974.99,1890.69,1958.16,65276.4575562
Bitstamp:ETHUSD,1957.84,2040.62,1801.94,1916.4,57264.99341453
Bitstamp:ETHUSD,1915.03,1976.94,1885.29,1935.24,27671.26608507
Bitstamp:ETHUSD,1936.27,1937.11,1540.58,1778.72,166674.70417511
Bitstamp:ETHUSD,1778.36,1782.06,1352.89,1578.14,203281.48041798
Bitstamp:ETHUSD,1578.21,1714.77,1500.0,1625.51,70838.77709831
Bitstamp:ETHUSD,1623.76,1672.91,1458.85,1480.16,44072.41451006
Bitstamp:ETHUSD,1480.21,1563.83,1400.0,1447.06,52364.48905154
Bitstamp:ETHUSD,1445.19,1527.7,1427.43,1459.03,74913.18811541
Bitstamp:ETHUSD,1457.78,1469.74,1293.42,1421.77,147163.04598849
Bitstamp:ETHUSD,1424.29,1573.31,1413.44,1570.83,56377.83225247
Bitstamp:ETHUSD,1572.12,1604.99,1455.0,1488.8,38100.18145227
Bitstamp:ETHUSD,1487.03,1658.0,1478.61,1568.0,61937.70970425
Bitstamp:ETHUSD,1568.11,1625.39,1504.16,1538.23,81503.09889406
Bitstamp:ETHUSD,1540.71,1549.29,1441.25,1527.29,60074.77956313
Bitstamp:ETHUSD,1530.03,1672.98,1513.72,1651.16,76977.07129927
Bitstamp:ETHUSD,1652.87,1735.0,1630.39,1727.3,40239.80258044
Bitstamp:ETHUSD,1729.6,1842.52,1665.76,1835.06,65383.83569739
Bitstamp:ETHUSD,1836.88,1872.78,1798.57,1872.78,36537.83968677
Bitstamp:ETHUSD,1873.23,1879.69,1758.79,1793.51,80810.76160587
Bitstamp:ETHUSD,1794.46,1848.47,1723.84,1826.23,61046.12372644
Bitstamp:ETHUSD,1827.37,1842.17,1720.55,1767.48,40877.58101617
Bitstamp:ETHUSD,1767.76,1943.32,1728.25,1920.98,52560.20386912
Bitstamp:ETHUSD,1922.22,1931.6,1837.0,1848.37,26691.64731908
Bitstamp:ETHUSD,1847.52,1890.0,1732.0,1793.21,85342.28664203
Bitstamp:ETHUSD,1795.47,1820.0,1711.89,1805.65,87285.79635618
Bitstamp:ETHUSD,1807.71,1840.98,1741.08,1822.3,42379.79355185
Bitstamp:ETHUSD,1829.74,1850.0,1758.53,1776.02,32571.47907809
Bitstamp:ETHUSD,1776.11,1841.0,1732.17,1809.44,20843.87645642
Bitstamp:ETHUSD,1810.84,1869.2,1800.0,1803.79,31379.09823626
Bitstamp:ETHUSD,1804.94,1816.79,1745.0,1783.59,21250.26572856
Bitstamp:ETHUSD,1783.99,1808.34,1654.3,1681.69,39276.54702311
Bitstamp:ETHUSD,1682.74,1722.15,1651.3,1670.16,33651.58421835
Bitstamp:ETHUSD,1668.38,1739.61,1520.0,1582.94,103914.6369168
Bitstamp:ETHUSD,1581.08,1680.0,1549.15,1586.26,49991.98650209
Bitstamp:ETHUSD,1586.48,1701.29,1586.48,1699.37,53482.28616506
Bitstamp:ETHUSD,1700.28,1732.5,1666.57,1713.6,33598.82964408
Bitstamp:ETHUSD,1714.07,1725.64,1661.79,1686.5,22802.84139998
Bitstamp:ETHUSD,1686.84,1842.0,1676.32,1817.22,49178.38746818
Bitstamp:ETHUSD,1816.61,1860.2,1785.6,1842.12,37369.22480682
Bitstamp:ETHUSD,1842.06,1947.49,1770.18,1917.91,53215.26280621
Bitstamp:ETHUSD,1922.85,1982.0,1884.88,1967.82,39179.48268223
Bitstamp:ETHUSD,1968.46,2144.99,1949.77,2134.56,56445.16949676
Bitstamp:ETHUSD,2135.74,2138.26,1996.16,2008.28,40026.19831604
Bitstamp:ETHUSD,2007.75,2092.58,1978.21,2075.74,24508.82934953
Bitstamp:ETHUSD,2077.1,2131.37,2002.22,2107.23,30764.05085673
Bitstamp:ETHUSD,2108.82,2151.63,2043.83,2112.69,32765.44203896
Bitstamp:ETHUSD,2112.69,2129.39,1930.0,1963.08,42890.8370441
Bitstamp:ETHUSD,1963.44,2084.95,1949.0,2081.0,35731.7160459
Bitstamp:ETHUSD,2082.02,2100.0,2048.41,2065.93,24168.67419454
Bitstamp:ETHUSD,2066.78,2197.0,2057.34,2134.22,35714.81004752
Bitstamp:ETHUSD,2135.38,2163.55,2112.32,2148.15,12969.16074847
Bitstamp:ETHUSD,2150.76,2200.0,2098.56,2136.77,27358.29497177
Bitstamp:ETHUSD,2137.73,2317.23,2135.0,2299.69,42950.00622319
Bitstamp:ETHUSD,2300.31,2446.96,2282.31,2432.63,63187.08256662
Bitstamp:ETHUSD,2433.79,2546.0,2400.0,2517.35,46713.35027087
Bitstamp:ETHUSD,2518.24,2548.93,2301.75,2426.19,74898.11280087
Bitstamp:ETHUSD,2427.08,2497.39,2312.87,2317.11,39844.19803382
Bitstamp:ETHUSD,2317.12,2341.68,1951.66,2241.5,116812.93231579
Bitstamp:ETHUSD,2242.95,2280.79,2077.42,2163.77,117808.72530712
Bitstamp:ETHUSD,2164.37,2349.81,2055.0,2333.71,80163.98445726
Bitstamp:ETHUSD,2334.34,2470.53,2238.48,2358.13,78047.22006521
Bitstamp:ETHUSD,2362.05,2645.97,2300.0,2400.0,119509.33212062
Bitstamp:ETHUSD,2397.88,2442.89,2106.65,2369.77,121136.76750169
Bitstamp:ETHUSD,2369.69,2369.97,2157.61,2217.33,33143.537944
Bitstamp:ETHUSD,2217.33,2358.0,2166.0,2321.81,80968.35530876
Bitstamp:ETHUSD,2323.31,2544.98,2306.75,2534.69,52277.29011902
Bitstamp:ETHUSD,2534.92,2683.65,2483.76,2668.89,50882.36346189
Bitstamp:ETHUSD,2669.01,2763.75,2561.44,2750.37,73236.3005285
Bitstamp:ETHUSD,2751.52,2800.89,2671.33,2758.06,62670.5608645
Bitstamp:ETHUSD,2759.56,2802.06,2726.49,2777.11,43230.93528918
Bitstamp:ETHUSD,2776.06,2956.0,2758.57,2947.57,35886.12777629
Bitstamp:ETHUSD,2949.03,2986.01,2853.0,2951.78,29434.39748166
Bitstamp:ETHUSD,2951.93,3457.64,2951.93,3430.16,97660.00808192
Bitstamp:ETHUSD,3434.32,3530.0,3167.66,3238.42,148326.4368224
Bitstamp:ETHUSD,3241.69,3559.97,3208.19,3528.2,66796.10156661
Bitstamp:ETHUSD,3529.26,3610.04,3380.01,3490.33,71338.54359967
Bitstamp:ETHUSD,3494.27,3595.0,3355.2,3483.81,59582.60744564
Bitstamp:ETHUSD,3486.27,3960.0,3452.75,3915.0,56881.74597262
Bitstamp:ETHUSD,3917.16,3985.0,3730.25,3928.05,41074.20848726
Bitstamp:ETHUSD,3929.72,4200.0,3655.0,3950.36,115137.10554251
Bitstamp:ETHUSD,3947.86,4185.0,3775.74,4179.47,72837.01667581
Bitstamp:ETHUSD,4180.12,4380.64,3750.0,3810.19,120423.3081053
Bitstamp:ETHUSD,3802.47,4040.65,3543.62,3720.21,94101.673145
Bitstamp:ETHUSD,3717.15,4178.11,3693.0,4080.31,54423.32932063
Bitstamp:ETHUSD,4079.79,4135.74,3629.61,3646.01,44467.01917494
Bitstamp:ETHUSD,3647.66,3881.2,3340.99,3585.36,64910.57821939
Bitstamp:ETHUSD,3582.29,3590.32,3117.09,3281.32,109417.09776892
Bitstamp:ETHUSD,3284.54,3570.48,3243.71,3380.57,74068.32228574
Bitstamp:ETHUSD,3379.1,3441.5,1850.0,2446.91,296372.55485699
Bitstamp:ETHUSD,2446.91,3000.0,2160.0,2774.37,145982.44392811
Bitstamp:ETHUSD,2773.8,2944.36,2102.86,2436.11,120690.05649731
Bitstamp:ETHUSD,2433.97,2489.23,2157.72,2296.31,69652.03985469
Bitstamp:ETHUSD,2291.91,2381.42,1730.0,2098.33,127803.34857072
Bitstamp:ETHUSD,2101.62,2678.99,2084.57,2651.7,110531.27367328
Bitstamp:ETHUSD,2650.14,2788.0,2386.0,2704.31,82662.46400415
Bitstamp:ETHUSD,2713.41,2915.31,2646.36,2889.65,54843.01709403
Bitstamp:ETHUSD,2890.39,2892.98,2642.17,2741.07,48572.2880462
Bitstamp:ETHUSD,2733.35,2763.64,2327.0,2413.17,77976.53011364
Bitstamp:ETHUSD,2410.56,2576.7,2207.96,2279.59,85288.45133274
Bitstamp:ETHUSD,2280.8,2478.83,2182.89,2389.91,48486.58242126
Bitstamp:ETHUSD,2383.08,2722.0,2275.0,2707.27,65289.0151034
Bitstamp:ETHUSD,2705.72,2743.24,2527.04,2634.3,57559.94638485
Bitstamp:ETHUSD,2634.86,2802.0,2552.45,2707.66,34892.24062169
Bitstamp:ETHUSD,2702.59,2890.6,2663.49,2856.41,40107.34151395
Bitstamp:ETHUSD,2858.33,2858.33,2550.13,2691.14,35985.5517998
Bitstamp:ETHUSD,2690.92,2819.09,2552.89,2629.4,33292.65080334
Bitstamp:ETHUSD,2627.77,2747.09,2615.55,2710.48,23613.63319661
Bitstamp:ETHUSD,2711.66,2850.0,2574.59,2593.47,41123.57122212
Bitstamp:ETHUSD,2592.52,2623.47,2306.02,2508.85,84384.40706608
Bitstamp:ETHUSD,2508.43,2630.0,2407.9,2612.13,59184.08524008
Bitstamp:ETHUSD,2611.71,2625.0,2427.88,2472.27,37882.57541489
Bitstamp:ETHUSD,2470.77,2499.73,2321.6,2353.1,34616.81076319
Bitstamp:ETHUSD,2354.64,2453.57,2252.58,2367.0,28249.5433153
Bitstamp:ETHUSD,2374.04,2548.6,2307.9,2510.53,36178.62228581
Bitstamp:ETHUSD,2511.66,2609.28,2461.67,2583.06,34258.41752039
Bitstamp:ETHUSD,2581.67,2641.49,2505.27,2544.58,19815.98859474
Bitstamp:ETHUSD,2542.61,2555.06,2350.62,2366.56,32802.91071184
Bitstamp:ETHUSD,2365.7,2461.51,2305.0,2371.13,58636.73626788
Bitstamp:ETHUSD,2373.8,2377.13,2139.49,2227.29,32333.92616276
Bitstamp:ETHUSD,2231.94,2278.4,2161.46,2165.0,19272.60685694
Bitstamp:ETHUSD,2167.43,2277.3,2040.91,2242.6,29174.43589279
Bitstamp:ETHUSD,2244.46,2258.06,1864.79,1887.63,89431.74500832
Bitstamp:ETHUSD,1887.34,1997.0,1700.0,1880.79,89264.64244197
Bitstamp:ETHUSD,1879.95,2044.62,1823.92,1968.7,58577.6884456
Bitstamp:ETHUSD,1968.3,2036.72,1884.1,1989.63,51434.49602856
Bitstamp:ETHUSD,1989.78,2020.03,1791.48,1810.88,61519.9304785
Bitstamp:ETHUSD,1809.9,1852.43,1717.17,1831.03,32140.3128202
Bitstamp:ETHUSD,1828.73,1985.32,1806.85,1983.22,50563.46120942
