symbol,open,high,low,close,volume
Coinbase:SOLUSD,40.5,40.5,38.219,39.25,202111.69164
Coinbase:SOLUSD,39.321,39.45,35.0,36.842,471361.72638
Coinbase:SOLUSD,36.875,37.361,34.977,35.2,263002.62915
Coinbase:SOLUSD,35.2,35.954,31.324,35.271,287189.03673
Coinbase:SOLUSD,35.286,35.532,26.0,26.625,836374.39429
Coinbase:SOLUSD,26.631,28.773,20.181,26.982,1438737.3203
Coinbase:SOLUSD,26.979,32.957,25.682,30.838,1145607.00338
Coinbase:SOLUSD,30.851,33.0,28.477,31.187,883030.92223
Coinbase:SOLUSD,31.201,32.98,27.93,28.646,646762.94321
Coinbase:SOLUSD,28.6,30.121,26.72,29.739,469759.10814
Coinbase:SOLUSD,29.739,31.98,29.205,31.92,431491.18219
Coinbase:SOLUSD,31.935,34.323,31.01,33.013,459757.90088
Coinbase:SOLUSD,33.033,35.829,32.655,33.963,553005.38298
Coinbase:SOLUSD,33.951,36.0,31.602,35.565,754720.58588
Coinbase:SOLUSD,35.545,35.601,32.182,33.29,541918.0711
Coinbase:SOLUSD,33.28,34.1,31.408,33.991,458577.50166
Coinbase:SOLUSD,33.991,35.392,33.26,34.558,261802.35412
Coinbase:SOLUSD,34.536,35.504,33.582,34.332,243588.05074
Coinbase:SOLUSD,34.304,34.479,32.45,32.92,250865.94543
Coinbase:SOLUSD,32.922,35.048,32.909,34.217,348023.11185
Coinbase:SOLUSD,34.213,38.1,33.83,36.718,902836.02655
Coinbase:SOLUSD,36.678,36.962,32.586,33.161,656095.51299
Coinbase:SOLUSD,33.163,34.43,32.0,33.335,342965.31001
Coinbase:SOLUSD,33.3,34.223,31.069,31.722,317809.60734
Coinbase:SOLUSD,31.716,32.551,31.368,32.2,229085.03039
Coinbase:SOLUSD,32.191,32.686,30.0,30.749,330887.04956
Coinbase:SOLUSD,30.792,31.09,28.831,29.15,338740.82092
Coinbase:SOLUSD,29.173,31.468,27.442,31.349,384559.64368
Coinbase:SOLUSD,31.33,31.5,28.0,28.594,488220.78553
Coinbase:SOLUSD,28.575,29.48,26.204,26.296,336913.03064
Coinbase:SOLUSD,26.291,27.822,26.0,26.764,371501.76565
Coinbase:SOLUSD,26.743,27.753,26.265,26.702,187679.26466
Coinbase:SOLUSD,26.696,26.711,24.0,24.524,704249.17733
Coinbase:SOLUSD,24.539,24.993,22.139,23.472,684942.46013
