symbol,open,high,low,close,volume
Bitstamp:XLMUSD,0.32887,0.33944,0.294,0.30651,33986060.81649664
Bitstamp:XLMUSD,0.30738,0.36595,0.29299,0.32339,81231515.57291669
Bitstamp:XLMUSD,0.32229,0.35,0.31799,0.33951,43920613.48506538
Bitstamp:XLMUSD,0.33995,0.34887,0.33003,0.34648,26365877.67132831
Bitstamp:XLMUSD,0.34699,0.35001,0.31289,0.32678,30356178.82819428
Bitstamp:XLMUSD,0.32833,0.36324,0.32519,0.3526,22846918.85531975
Bitstamp:XLMUSD,0.35242,0.39964,0.33649,0.37829,36102171.05082241
Bitstamp:XLMUSD,0.37937,0.42367,0.36127,0.38562,58176326.82163354
Bitstamp:XLMUSD,0.38646,0.40497,0.37386,0.39778,36826331.36410278
Bitstamp:XLMUSD,0.39776,0.40607,0.38315,0.40028,18965570.18040539
Bitstamp:XLMUSD,0.40097,0.44738,0.3795,0.41531,61701431.85814269
Bitstamp:XLMUSD,0.41645,0.47,0.41122,0.45681,39808931.65287324
Bitstamp:XLMUSD,0.45673,0.5373,0.43821,0.53067,47789547.61663822
Bitstamp:XLMUSD,0.53025,0.60731,0.50719,0.56535,63898514.94593236
Bitstamp:XLMUSD,0.56588,0.57835,0.49652,0.5163,35610476.79496818
Bitstamp:XLMUSD,0.51686,0.54088,0.43,0.49426,42291467.36681909
Bitstamp:XLMUSD,0.49545,0.51701,0.46818,0.48667,26207812.13090253
Bitstamp:XLMUSD,0.48584,0.51,0.45595,0.49728,19887924.04052852
Bitstamp:XLMUSD,0.49787,0.516,0.48317,0.496,18586575.06452216
Bitstamp:XLMUSD,0.49715,0.52107,0.4828,0.5128,20109492.31860364
Bitstamp:XLMUSD,0.51515,0.53279,0.461,0.48728,22803232.5007055
Bitstamp:XLMUSD,0.48698,0.50789,0.47509,0.49677,10154823.92374527
Bitstamp:XLMUSD,0.49788,0.52661,0.385,0.46415,45772118.71658472
Bitstamp:XLMUSD,0.46259,0.46259,0.31203,0.38697,50502528.5393695
Bitstamp:XLMUSD,0.38716,0.43405,0.36798,0.40569,25915759.41585114
Bitstamp:XLMUSD,0.40562,0.42561,0.377,0.38002,20995040.50108048
Bitstamp:XLMUSD,0.37994,0.40143,0.35503,0.40029,22553428.89030487
Bitstamp:XLMUSD,0.4014,0.47216,0.39874,0.43906,39075591.89546559
Bitstamp:XLMUSD,0.43907,0.45029,0.38041,0.40562,22731384.92182553
Bitstamp:XLMUSD,0.40692,0.4363,0.4009,0.43067,26188657.65890525
Bitstamp:XLMUSD,0.43123,0.43589,0.39768,0.41889,17826580.59668262
Bitstamp:XLMUSD,0.41564,0.43842,0.41292,0.42117,15882078.15359959
Bitstamp:XLMUSD,0.42001,0.42731,0.40104,0.41264,16363440.80355929
Bitstamp:XLMUSD,0.41,0.41264,0.3858,0.40485,16453145.31439167
Bitstamp:XLMUSD,0.4052,0.40878,0.39281,0.40191,7499963.68851187
Bitstamp:XLMUSD,0.40243,0.42222,0.40243,0.41288,14944774.58827006
Bitstamp:XLMUSD,0.413,0.421,0.40266,0.41775,12585710.38692496
Bitstamp:XLMUSD,0.41862,0.43497,0.41283,0.43222,12501805.11029688
Bitstamp:XLMUSD,0.43268,0.43329,0.40576,0.40947,18594069.86106615
Bitstamp:XLMUSD,0.41,0.41289,0.39569,0.40463,11244413.2839236
Bitstamp:XLMUSD,0.406,0.40723,0.37767,0.38652,14196116.80050729
Bitstamp:XLMUSD,0.38479,0.41187,0.37558,0.40823,13624316.32737353
Bitstamp:XLMUSD,0.407,0.40852,0.38801,0.38855,9477708.66680318
Bitstamp:XLMUSD,0.38855,0.39901,0.36761,0.38402,16920052.14212701
Bitstamp:XLMUSD,0.38466,0.41192,0.37339,0.39592,19070775.13997915
Bitstamp:XLMUSD,0.39609,0.40481,0.38475,0.40323,11148763.38987194
